district_name,region_name,city_name,region_id
南海,里水,佛山,fs0201
顺德,佛山新城,佛山,fs0301
顺德,北滘,佛山,fs0302
禅城,祖庙,佛山,fs0101
顺德,伦教,佛山,fs0303
三水,云东海,佛山,fs0401
南海,千灯湖,佛山,fs0202
南海,桂城,佛山,fs0203
顺德,大良,佛山,fs0304
禅城,南庄,佛山,fs0102
顺德,容桂,佛山,fs0305
高明,杨和,佛山,fs0501
顺德,杏坛,佛山,fs0306
禅城,张槎,佛山,fs0103
南海,狮山,佛山,fs0204
三水,西南,佛山,fs0402
南海,大沥,佛山,fs0205
南海,罗村,佛山,fs0206
三水,乐平,佛山,fs0403
禅城,石湾,佛山,fs0104
禅城,奇槎,佛山,fs0105
顺德,陈村,佛山,fs0307
顺德,勒流,佛山,fs0308
三水,芦苞,佛山,fs0404
禅城,城南,佛山,fs0106
顺德,龙江,佛山,fs0309
三水,大塘,佛山,fs0405
高明,荷城,佛山,fs0502
荔湾区,芳村,广州,gz0201
黄埔区,老黄埔,广州,gz0601
花都区,花都湖,广州,gz0801
番禺区,亚运新城,广州,gz0701
天河区,奥体,广州,gz0301
番禺区,华南,广州,gz0702
海珠区,琶洲,广州,gz0401
海珠区,南洲,广州,gz0402
增城区,新塘,广州,gz0901
番禺区,广州南站,广州,gz0703
番禺区,市桥,广州,gz0704
海珠区,赤岗,广州,gz0403
番禺区,汉溪,广州,gz0705
海珠区,滨江,广州,gz0404
越秀区,淘金,广州,gz0101
花都区,狮岭,广州,gz0802
白云区,钟落潭,广州,gz0501
花都区,区府,广州,gz0803
白云区,白云大道,广州,gz0502
天河区,天河北,广州,gz0302
白云区,白云湖,广州,gz0503
白云区,石井,广州,gz0504
番禺区,洛溪,广州,gz0706
白云区,嘉禾望岗,广州,gz0505
增城区,中新,广州,gz0902
龙华区,大浪,深圳,sz0701
宝安区,西乡,深圳,sz0401
南山区,南头,深圳,sz0301
光明区,凤凰,深圳,sz0901
宝安区,沙井,深圳,sz0402
龙岗区,宝龙,深圳,sz0501
龙岗区,平湖,深圳,sz0502
龙华区,民治,深圳,sz0702
光明区,新湖,深圳,sz0902
龙岗区,南湾,深圳,sz0503
光明区,光明街道,深圳,sz0903
龙岗区,吉华,深圳,sz0504
罗湖区,布心,深圳,sz0101
罗湖区,蔡屋围,深圳,sz0102
南山区,前海,深圳,sz0302
龙华区,观澜,深圳,sz0703
宝安区,宝安中心区,深圳,sz0403
坪山区,坪山街道,深圳,sz0801
南山区,蛇口,深圳,sz0303
南山区,后海,深圳,sz0304
福田区,沙头,深圳,sz0201
龙岗区,龙岗中心城,深圳,sz0505
福田区,福田街道,深圳,sz0202
龙华区,龙华街道,深圳,sz0704
宝安区,松岗,深圳,sz0404
宝安区,新安,深圳,sz0405
福田区,梅林,深圳,sz0203
龙华区,观湖,深圳,sz0705
龙岗区,大运,深圳,sz0506
宝安区,福永,深圳,sz0406
南山区,西丽,深圳,sz0305
坪山区,石井,深圳,sz0802
南山区,华侨城,深圳,sz0306
龙岗区,横岗,深圳,sz0507
龙岗区,布吉,深圳,sz0508
福田区,园岭,深圳,sz0204
